Species,Order,Family,Year,Longitude,Latitude,Site,Country,Density (Ind/km2),Method,Mass (g),Diet,Continent,Accessibility_1deg,Human Footprint_1deg,Night Lights_1deg,Cropland_1deg,Pasture_1deg,Human Population Density_1deg,NDVI_1deg,Species Richness_1deg,Accessibility_1km,Human Footprint_1km,Night Lights_1km,Cropland_1km,Pasture_1km,Human Population Density_1km,NDVI_1km,Night Lights_50km,Cropland_50km,Pasture_50km,Human Population Density_50km,NDVI_50km,Accessibility_50km,Human Footprint_50km,Species Richness_50km,Accessibility_10km,Human Footprint_10km,Night Lights_10km,Cropland_10km,Pasture_10km,Human Population Density_10km,NDVI_10km,Species Richness_10km,Accessibility_10kmBuff,Human Footprint_10kmBuff,Night Lights_10kmBuff,Cropland_10kmBuff,Pasture_10kmBuff,Human Population Density_10kmBuff,NDVI_10kmBuff,Species Richness_10kmBuff
Hippotragus equinus,Cetartiodactyla,Bovidae,1993,30.5,-12,Bangweulu-Kafinda GMAs,Zambia,0.003,Census,269997.7,Herbivore,Africa,514,5.903,0.008,1.385,8.249,9.514,0.548,130.843,635,4.255,0,0,0,3.086,0.542,0,0.875,6.306,10.82,0.58,608,4.552,132.549,710,4.255,0,0.004,0,6.07,0.529,132.549,710,3.317,0,0.004,0,6.07,0.529,132.549
Hippotragus equinus,Cetartiodactyla,Bovidae,1993,34.05,-7.02,Ruaha-Rungwa surrounds to NP & GRs,Tanzania,0.018,Census,269997.7,Herbivore,Africa,454,8.09,0,2.536,2.166,5.611,0.514,132.79,797,9,0,0.801,0,1.056,0.498,0,1.803,0.517,3.57,0.519,603,8.098,134.42,769,9,0,1.207,0,1.944,0.501,134.42,769,9,NA,NA,NA,NA,0.501,134.42
Hippotragus equinus,Cetartiodactyla,Bovidae,1993,34.884,-2.392,,Tanzania,0.008,,269997.7,Herbivore,Africa,623,7.974,0.003,2.412,11.747,11.89,0.423,141.407,321,4.518,0,0.004,0,3.936,0.45,0.004,3.073,10.148,12.424,0.46,701,5.746,149.804,367,4.518,0,0.003,0,6.479,0.45,149.804,367,5.369,0,0.003,0,6.479,0.45,149.804
Hippotragus niger ,Cetartiodactyla,Bovidae,1993,34.05,-7.02,Ruaha-Rungwa surrounds to NP & GRs,Tanzania,0.018,Census,227499.3,Herbivore,Africa,454,8.09,0,2.536,2.166,5.611,0.514,132.79,797,9,0,0.801,0,1.056,0.498,0,1.803,0.517,3.57,0.519,603,8.098,134.42,769,9,0,1.207,0,1.944,0.501,134.42,769,9,NA,NA,NA,NA,0.501,134.42
Hippotragus niger ,Cetartiodactyla,Bovidae,1993,34.65,-7.53,Ruaha NP & GRs,Tanzania,0.084,Census,227499.3,Herbivore,Africa,658,7.572,0.001,1.49,0.968,2.321,0.532,132.79,722,5.226,0,0,0,0.096,0.482,0,2.143,2.634,4.005,0.522,947,7.014,139,797,5.226,0,0,0,0.134,0.482,139,NA,NA,0,NA,NA,NA,NA,NA
Hippotragus niger ,Cetartiodactyla,Bovidae,1993,31.6,-24,Kruger NP,South Africa,0.042,Census,227499.3,Herbivore,Africa,500,11.073,0.502,0.892,0.054,13.041,0.444,114.058,379,14.068,0,0.091,0,0.003,0.414,0.382,0.94,0.183,19.053,0.416,564,9.791,124.274,395,14.068,0,0.106,0,0.111,0.413,124.274,395,10.615,0,0.106,0,0.111,0.413,124.274
Hyaena hyaena,Carnivora,Hyaenidae,1993,77.173,21.448,,India,0.03,,41705.11,Carnivore,Asia,186,13.686,2.469,46.192,3.12,158.954,0.472,66.537,323,4.329,0.117,26.92,4.687,24.407,0.526,0.651,36.329,3.747,78.338,0.481,225,10.335,70.006,155,4.329,0.053,24.949,2.66,44.087,0.518,70.006,155,NA,0.053,24.949,2.66,44.087,0.518,70.006
Hyaena hyaena,Carnivora,Hyaenidae,1993,76.492,26.007,,India,0.361,,41705.11,Carnivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,193,17.053,NA,NA,NA,NA,0.412,59.596
Hyaena hyaena,Carnivora,Hyaenidae,1993,84.347,23.855,,India,0.038,,41705.11,Carnivore,Asia,209,12.568,0.964,39.089,3.342,190.253,0.512,52.413,45,21.068,0,9.682,0.054,199.284,0.495,0.16,19.362,2.323,125.907,0.564,232,12.294,52.535,111,21.068,0.013,21.282,2.095,210.166,0.532,52.535,NA,NA,0.013,21.282,2.095,210.166,NA,NA
Hyaena hyaena,Carnivora,Hyaenidae,1993,76.436,27.316,,India,0.115,,41705.11,Carnivore,Asia,131,18.737,6.674,58.311,0.002,499.764,0.401,54.642,163,8.578,0,54.072,0,72.557,0.457,5.727,58.886,0,468.164,0.417,133,16.926,57.331,191,8.578,0.537,55.078,0,209.059,0.441,57.331,NA,NA,NA,55.078,0,209.059,NA,NA
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,5.43,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,574,4.739,0,0.395,0,0.079,0.594,114.103
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,14.61,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,597.429,4.138,0,0.443,0,0.086,0.606,114.465
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,6.48,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,581.6,4.739,0,0.317,0,0.079,0.597,114.219
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,7.62,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,588.143,3.979,0,0.339,0,0.076,0.599,114.521
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,14.82,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,597.429,4.138,0,0.443,0,0.086,0.606,114.465
Hydrochaeris hydrochaeris,Rodentia,Caviidae,1993,-56.5,-18,Poconé and Nhecolândia ,Brazil,7.94,Census,48144.91,Herbivore,South America,447,3.031,0,0.615,0,0.071,0.634,122.636,451,6.996,0,0.356,0,0.105,0.593,0,1.077,0,0.073,0.611,586,4.035,114.765,674,6.996,0,0.485,0,0.075,0.589,114.765,559.625,4.072,0,0.339,0,0.076,0.604,114.583
Hylobates lar,Primates,Hylobatidae,1993,102.667,4.167,Sungai Tekam,Malaysia,12.8,Distance_sampling,4892,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1590.333,1.566,0.005,1.546,0.025,1.675,0.821,161.434
Hylobates lar,Primates,Hylobatidae,1993,102.667,4.167,Sungai Tekam,Malaysia,7.2,Distance_sampling,4892,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1756.286,1.268,0,0.371,0,1.244,0.823,161.604
Hylobates lar,Primates,Hylobatidae,1993,102.667,4.167,Sungai Tekam,Malaysia,19.3,Distance_sampling,4892,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1432.429,2.111,0.016,2.774,0.039,2.006,0.82,161.183
Hylobates lar,Primates,Hylobatidae,1993,102.667,4.167,Sungai Tekam,Malaysia,22.4,Distance_sampling,4892,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1432.429,2.189,0.015,2.774,0.039,2.006,0.82,161.183
Indri indri,Primates,Indriidae,1993,48.467,-18.8,Mantadita,Madagascar,6.6,Home_range,8000,Herbivore,Africa,194,8.862,0.095,16.782,26.008,41.997,0.73,33.438,400,3.327,0,1.649,1.712,4.569,0.81,0.06,11.4,25.942,67.084,0.722,203,7.272,65.85,222,3.327,0.002,2.554,4.918,9.009,0.818,65.85,218.857,6.706,0.068,6.955,12.47,15.532,0.788,62.589
Kobus ellipsiprymnus,Cetartiodactyla,Bovidae,1993,34.884,-2.392,,Tanzania,0.065,,210000.3,Herbivore,Africa,623,7.974,0.003,2.412,11.747,11.89,0.423,141.407,321,4.518,0,0.004,0,3.936,0.45,0.004,3.073,10.148,12.424,0.46,701,5.746,149.804,367,4.518,0,0.003,0,6.479,0.45,149.804,367,5.369,NA,0.003,0,6.479,0.45,149.804
Kobus leche,Cetartiodactyla,Bovidae,1993,27.7,-15.7,Lochinvar-Blue Lagoon NPs-Kafue Flats GMA,Zambia,10.833,Census,78500.06,Herbivore,Africa,247,9.503,0.444,10.871,30.855,92.304,0.504,127.042,245,14.469,0,0.005,0,2.437,0.505,0.737,10.782,26.419,42.774,0.508,154,12.265,129.593,256,14.469,0,1.053,3.794,11.161,0.512,129.593,242.154,13.482,0.452,2.956,8.677,23.975,0.512,129.471
Kobus leche,Cetartiodactyla,Bovidae,1993,30.5,-12,Bangweulu-Kafinda GMAs,Zambia,4,Census,78500.06,Herbivore,Africa,514,5.903,0.008,1.385,8.249,9.514,0.548,130.843,635,4.255,0,0,0,3.086,0.542,0,0.875,6.306,10.82,0.58,608,4.552,132.549,710,4.255,0,0.004,0,6.07,0.529,132.549,686.75,4.487,0,0.003,0.023,4.261,0.566,132.792
Kobus vardoni,Cetartiodactyla,Bovidae,1993,24.5,-18.5,Chobe NP,Botswana,0.009,Census,71500.65,Herbivore,Africa,606,3.649,0.017,2.175,0.131,4.407,0.453,105.007,427,1.144,0,0.029,0,0.436,0.48,0.006,0.675,0,1.037,0.466,711,1.535,108.269,483,1.144,0,0.01,0,0.464,0.477,108.269,483,1.243,0,0.01,0,0.464,0.477,108.269
Lemur catta,Primates,Lemuridae,1993,44.628,-23.651,Beza-Mahafaly,Madagascar,123.5,Census,2900,Herbivore,Africa,236,8.214,0.021,1.961,42.722,22.84,0.387,19.094,123,9.656,0,4.389,64.833,28.129,0.436,0.002,2.356,48.554,23.63,0.386,192,9.033,25.622,189,9.656,0,3.584,57.576,29.328,0.442,25.622,188.815,8.647,0.001,2.56,39.263,22.6,0.374,21.07
Lemur catta,Primates,Lemuridae,1993,46.055,-24.55,Berenty Reserve,Madagascar,243,Census,2900,Herbivore,Africa,172,8.475,0,1.212,66.123,28.625,0.394,18.945,215,5.113,0,1.132,70.193,15.991,0.414,0,0.879,65.315,24.373,0.4,155,7.994,20.793,142,5.113,0,1.344,69.413,18.69,0.405,20.793,191.481,8.257,0.003,1.531,58.375,26.901,0.425,20.306
Leontopithecus chrysopygus,Primates,Callitrichidae,1993,-49.583,-22.3,Caetetus (SP),Brazil,1,Counts,700.003,Omnivore,South America,95,10.468,3.802,36.504,14.067,51.703,0.612,133.151,41,4.42,7.132,35.398,37.679,41.849,0.651,3.053,34.786,16.204,44.551,0.633,99,8.866,129.128,87,4.42,4.016,35.436,38.545,18.53,0.646,129.128,87,15.745,4.016,35.436,38.545,18.53,0.646,129.128
Lepilemur edwardsi,Primates,Lepilemuridae,1993,44.55,-18.6,Antsingy forest (Bemaraha),Madagascar,430,Counts,700,Herbivore,Africa,461,5.219,0.002,2.226,24.471,7.162,0.536,23.949,530,1.274,0,0.808,7.604,4.425,0.47,0,1.872,28.106,6.836,0.553,469,4.619,27.8,459,1.274,0,1.432,24.755,5.647,0.478,27.8,456.057,5.127,0.001,1.621,28.719,6.591,0.494,17.149
Lepilemur edwardsi,Primates,Lepilemuridae,1993,44.55,-18.6,Tsimembo forest (Bemaraha),Madagascar,573,Counts,700,Herbivore,Africa,461,5.219,0.002,2.226,24.471,7.162,0.536,23.949,530,1.274,0,0.808,7.604,4.425,0.47,0,1.872,28.106,6.836,0.553,469,4.619,27.8,459,1.274,0,1.432,24.755,5.647,0.478,27.8,439.222,5.147,0.001,1.571,29.596,7.534,0.49,15.8
Lepilemur ruficaudatus,Primates,Lepilemuridae,1993,44.65,-20.05,"Kirindy Forest, CFPF",Madagascar,224,Distance_sampling,700,Herbivore,Africa,401,9.406,0.014,2.592,20.686,11.098,0.524,21.608,541,3.84,0,0.715,3.542,4.566,0.674,0.02,2.43,15.702,14.49,0.531,NA,6.455,37.658,421,3.84,0,1.309,11.613,15.681,0.636,37.658,386.025,6.168,0.013,2.607,21.335,12.899,0.499,18.31
Lepilemur ruficaudatus,Primates,Lepilemuridae,1993,44.833,-20.4,Manamby,Madagascar,19,Distance_sampling,700,Herbivore,Africa,377,6.089,0.014,1.799,22.478,10.572,0.447,21.608,336,7.742,0,1.963,24.125,5.196,0.518,0.001,2.481,20.325,16.557,0.437,373,6.495,33.582,356,7.742,0.005,3.263,23.938,10.169,0.516,33.582,368.947,5.753,0.004,3.074,27.15,11.838,0.507,30.709
Lepilemur ruficaudatus,Primates,Lepilemuridae,1993,44.833,-20.433,Manamby,Madagascar,11,Distance_sampling,700,Herbivore,Africa,377,6.089,0.014,1.799,22.478,10.572,0.447,21.608,397,7.265,0,2.42,18.706,4.314,0.508,0.001,2.481,20.325,16.557,0.437,373,6.495,33.582,356,7.265,0.005,3.263,23.938,10.169,0.516,33.582,366.2,5.93,0.002,3.407,26.259,12.327,0.509,31.463
Lepilemur ruficaudatus,Primates,Lepilemuridae,1993,44.817,-20.467,Manamby,Madagascar,59,Distance_sampling,700,Herbivore,Africa,377,6.089,0.014,1.799,22.478,10.572,0.447,21.608,366,5.094,0,2.945,20.771,4.836,0.506,0.001,2.481,20.325,16.557,0.437,373,6.495,33.582,356,5.094,0,3.263,23.938,10.169,0.516,33.582,367.39,6.58,0.01,2.476,28.397,13.375,0.488,27.227
Lepus americanus,Lagomorpha,Leporidae,1993,-138.083,60.971,Kluane Lake (Yukon),Canada,17.18,Mark_recapture,1710.015,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1148.5,1.447,0.228,0,0,0.329,0.281,41.053
Lepus americanus,Lagomorpha,Leporidae,1993,-138.083,60.971,Kluane Lake (Yukon),Canada,6.667,Mark_recapture,1710.015,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1120.429,1.24,0.022,0,0,0.047,0.308,41.118
Lepus americanus,Lagomorpha,Leporidae,1993,-138.083,60.971,Kluane Lake (Yukon),Canada,6.667,Mark_recapture,1710.015,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1120.429,1.24,0.022,0,0,0.047,0.308,41.118
Lepus americanus,Lagomorpha,Leporidae,1993,-138.083,60.971,Kluane Lake (Yukon),Canada,6.81,Mark_recapture,1710.015,Herbivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1120.429,1.24,0.02,0,0,0.047,0.308,41.118
Litocranius walleri,Cetartiodactyla,Bovidae,1993,35.9,0.6,Baringo district,Kenya,0.01,Census,37999.69,Herbivore,Africa,271,11.641,0.029,18.023,31.042,79.546,0.503,161.209,428,6.753,0,12.497,23.639,35.725,0.502,0.023,13.929,28.395,61.474,0.514,257,7.901,163.175,338,6.753,0.004,12.31,24.912,70.277,0.523,163.175,338,13.977,0.004,NA,NA,NA,0.523,163.175
Loxodonta africana,Proboscidea,Elephantidae,1993,6.4,5.2,Taylor Creek,Nigeria,0.172,Census,3940034,Herbivore,Africa,312,19.509,14.606,18.095,17.316,347.243,0.613,79.825,422,17.247,13.169,1.168,1.076,173.259,0.628,19.031,11.278,14.217,370.117,0.626,342,16.682,72.339,372,17.247,12.244,7.983,10.925,325.221,0.613,72.339,NA,NA,NA,7.983,10.925,325.221,NA,NA
Loxodonta africana,Proboscidea,Elephantidae,1993,30.6,-11.2,Isangano National Park D,Zambia,0.004,Census,3940034,Herbivore,Africa,514,5.903,0.002,1.385,8.249,9.514,0.548,128.622,599,10.682,0,0.004,0,4.507,0.524,0,2.259,9.585,7.638,0.547,393,6.34,129.797,408,10.682,0,0.558,1.218,7.7,0.51,129.797,408,7.824,NA,0.558,1.218,7.7,0.51,129.797
Loxodonta africana,Proboscidea,Elephantidae,1993,-3.4,5.9,Songan-Tamin-Mabi-Yaya Classified Forest,Cote d'Ivoire,0.012,Census,3940034,Herbivore,Africa,263,9.217,1.727,35.75,31.237,109.75,0.677,94.837,197,10.784,0,5.537,12.88,9.906,0.687,0.583,29.213,24.442,61.872,0.677,280,10,132.973,432,10.784,0,7.666,16.673,10.467,0.69,132.973,NA,NA,NA,7.666,16.673,10.467,NA,NA
Loxodonta africana,Proboscidea,Elephantidae,1993,12.4,5.6,Yoko Area,Cameroon,2.4,Census,3940034,Herbivore,Africa,486,4.336,0.002,7.836,1.268,5.174,0.708,105.276,655,3.254,0,0.964,0.862,6.023,0.71,0,2.554,0.563,4.755,0.719,571,5.674,104.855,385,3.254,0,0.431,0.527,4.835,0.703,104.855,496,8.93,0,1.226,0.543,5.481,0.707,106.25
Loxodonta africana,Proboscidea,Elephantidae,1993,-3.5,6.6,Beki-Bossematie Classified Forest,Cote d'Ivoire,0.09,Census,3940034,Herbivore,Africa,171,9.217,0.63,35.75,31.237,109.75,0.68,133.399,180,5.361,0,36.461,18.852,29.059,0.664,0.519,38.851,28.798,81.021,0.672,173,9.342,133.338,91,5.361,0.326,37.543,21.912,37.97,0.663,133.338,NA,NA,NA,37.543,21.912,37.97,NA,NA
Loxodonta africana,Proboscidea,Elephantidae,1993,34.884,-2.392,,Tanzania,0.047,,3940034,Herbivore,Africa,623,7.974,0.003,2.412,11.747,11.89,0.423,141.407,321,4.518,0,0.004,0,3.936,0.45,0.004,3.073,10.148,12.424,0.46,701,5.746,149.804,367,4.518,0,0.003,0,6.479,0.45,149.804,367,5.369,0,0.003,0,6.479,0.45,149.804
Loxodonta africana,Proboscidea,Elephantidae,1993,9,5.2,Korup National Park,Cameroon,0.338,Census,3940034,Herbivore,Africa,348,9.744,0.421,4.038,2.357,55.311,0.633,120.03,184,9.381,0,0.002,0,22.502,0.614,0.021,1.219,1.205,31.572,0.608,419,6.827,123.293,265,9.381,0,0.018,0,21.461,0.611,123.293,NA,NA,NA,NA,NA,NA,NA,NA
Loxodonta africana,Proboscidea,Elephantidae,1993,15.9,2.3,Lobéké National Park,Cameroon,1.874,Census,3940034,Herbivore,Africa,2327,2.348,0.023,0.155,0.275,6.874,0.781,146.549,2631,1,0,0,0,0.701,0.773,0.02,0.024,0.011,2.472,0.775,2098,1.832,146.687,2549,1,0,0,0,1.543,0.773,146.687,2549,1,0,0,0,1.543,0.773,146.687
Lycaon pictus,Carnivora,Canidae,1993,34.884,-2.392,,Tanzania,0.002,,22050.07,Carnivore,Africa,623,7.974,0.003,2.412,11.747,11.89,0.423,141.407,321,4.518,0,0.004,0,3.936,0.45,0.004,3.073,10.148,12.424,0.46,701,5.746,149.804,367,4.518,0,0.003,0,6.479,0.45,149.804,367,5.369,0,0.003,0,6.479,0.45,149.804
Lynx canadensis,Carnivora,Felidae,1993,-138.083,60.971,Kluane Lake (Yukon),Canada,0.02,Counts,9373.246,Carnivore,North America,1818,0.475,0.174,0,0,0.056,0.197,37.325,1069,6.78,0,0,0,0.015,0.34,0.094,0,0,0.233,0.328,1393,0.735,41.782,1101,6.78,0,0,0,0.024,0.316,41.782,1101,NA,0,0,0,0.024,0.316,41.782
Lynx rufus,Carnivora,Felidae,1993,-89.29,32.17,Tallahalla Wildlife Management Area (Mississipi),United States,0.1,Census,8904.099,Carnivore,North America,162,8.17,7.025,6.089,1.777,24.341,0.709,46.347,233,2.273,0,0.949,0,1.014,0.73,5.288,5.242,1.701,14.005,0.719,181,8.952,47,340,2.273,0.436,1.503,0.114,2.876,0.732,47,NA,NA,NA,1.503,0.114,2.876,NA,NA
Macaca mulatta,Primates,Cercopithecidae,1993,77.173,21.448,,India,2.979,,3713,Herbivore,Asia,186,13.686,2.469,46.192,3.12,158.954,0.472,66.537,323,4.329,0.117,26.92,4.687,24.407,0.526,0.651,36.329,3.747,78.338,0.481,225,10.335,70.006,155,4.329,0.053,24.949,2.66,44.087,0.518,70.006,203.5,9.627,0.173,30.98,2.986,49.967,0.525,70.24
Macaca mulatta,Primates,Cercopithecidae,1993,79.465,21.568,,India,0.008,,3713,Herbivore,Asia,127,13.683,3.55,41.913,2.999,247.05,0.492,64.251,227,7.881,0,17.06,5.729,40.079,0.551,2.19,29.757,2.432,158.196,0.514,119,12.752,67.479,178,7.881,0.951,16.881,3.892,61.771,0.543,67.479,178,11.828,NA,16.881,3.892,61.771,0.543,67.479
Macaca mulatta,Primates,Cercopithecidae,1993,84.347,23.855,,India,34.613,,3713,Herbivore,Asia,209,12.568,0.964,39.089,3.342,190.253,0.512,52.413,45,21.068,0,9.682,0.054,199.284,0.495,0.16,19.362,2.323,125.907,0.564,232,12.294,52.535,111,21.068,0.013,21.282,2.095,210.166,0.532,52.535,199.314,13.091,0.119,26.799,2.697,212.768,0.541,53.025
Macaca mulatta,Primates,Cercopithecidae,1993,78.935,29.533,,India,9.6,,3713,Herbivore,Asia,94,16.191,3.571,45.213,1.469,765.366,0.538,60.937,146,8.552,0,0.525,0.03,17.921,0.676,1.961,23.025,0.749,279.069,0.59,142,12.459,70.375,186,8.552,0.208,10.31,0.548,107.412,0.635,70.375,201.7,11.483,0.782,15.191,0.585,148.143,0.63,71.473
Macaca nemestrina,Primates,Cercopithecidae,1993,102.667,4.167,Sungai Tekam,Malaysia,4.2,Distance_sampling,6296.5,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1801.5,0.827,0,0.375,0,1.251,0.823,161.555
Macaca nemestrina,Primates,Cercopithecidae,1993,102.667,4.167,Sungai Tekam,Malaysia,28.5,Distance_sampling,6296.5,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1221.767,2.983,0.099,4.073,0.066,4.95,0.819,161.687
Macaca nemestrina,Primates,Cercopithecidae,1993,102.667,4.167,Sungai Tekam,Malaysia,15,Distance_sampling,6296.5,Herbivore,Asia,469,8.553,2.336,20.341,1.156,72.865,0.754,151.628,1992,0,0,0.124,0,1.186,0.826,1.083,13.804,0.399,16.002,0.811,838,6.26,161.19,2079,0,0,0.122,0,1.225,0.823,161.19,1446.5,2.026,0.004,1.665,0.023,1.73,0.822,161.834
Madoqua guentheri,Cetartiodactyla,Bovidae,1993,38.5,5.2,Yabelo WS,Ethiopia,3.486,Census,7499.978,Herbivore,Africa,456,7.186,0.006,10.761,26.253,87.045,0.53,80.427,275,10.92,0,2.795,35.555,46.579,0.489,0.002,4.045,32.571,40.982,0.479,462,6.33,78.419,358,10.92,0,3.382,36.765,30.863,0.481,78.419,408.75,6.508,0,3.111,34.154,26.052,0.483,77.775
Meles meles,Carnivora,Mustelidae,1993,-6.2,54.7,Glenwhirry,Ireland,0.86,Trapping,13000,Omnivore,Europe,100,19.681,8.909,2.874,32.866,86.373,0.696,19.896,25,39.429,42.724,6.411,26.022,469.687,0.717,13.507,NA,NA,NA,0.659,77,23.361,23,36,39.429,21.839,2.64,36.252,202.915,0.638,23,36,21.007,21.839,2.64,36.252,202.915,0.638,23
Meles meles,Carnivora,Mustelidae,1993,-2.3,51.7,Woodchester Park,United Kingdom,36.03,Trapping,13000,Omnivore,Europe,56,30.495,16.787,20.499,18.61,320.813,0.673,35.215,63,27.884,10.03,20.949,21.744,280.159,0.687,18.412,24.755,16.53,276.569,0.671,39,31.614,36.628,30,27.884,15.839,21.275,17.749,417.911,0.678,36.628,34.562,30.948,20.161,21.881,16.226,349.604,0.672,38.955
Meles meles,Carnivora,Mustelidae,1993,5.13,52.17,Between Utrecht and Hilversum,Netherlands,3.32,Census,13000,Omnivore,Europe,37,31.262,20.888,14.854,8.898,475.967,0.632,33.411,25,28.025,22.384,15.408,2.702,1735.652,0.624,32.411,20.122,7.599,679.387,0.629,30,32.634,43,10,28.025,39.166,24.755,3.35,1165.416,0.632,43,10.75,35.256,39.358,22.9,5.924,940.159,0.639,43
Meles meles,Carnivora,Mustelidae,1993,-1.32,51.77,Wytham Woods (Oxfordshire),United Kingdom,35.33,Census,13000,Omnivore,Europe,40,30.495,22.936,25.574,12.242,422.353,0.635,34.475,5,33.19,36.254,25.09,8.2,750.2,0.635,16.11,28.547,13.113,232.98,0.629,46,31.547,37,9,33.19,39.317,24.679,7.353,711.255,0.627,37,46.917,29.027,16.525,28.4,13.602,217.229,0.633,37.741
Melursus ursinus,Carnivora,Ursidae,1993,76.492,26.007,,India,0.372,,93130,Omnivore,Asia,155,15.421,3.068,48.902,2.245,185.385,0.378,58.684,264,7.957,0,2.78,0,114.486,0.421,1.751,46.549,0.534,204.534,0.356,148,15.215,59.596,193,7.957,1.398,27.926,0.166,381.525,0.412,59.596,193,17.053,NA,NA,NA,NA,0.412,59.596
Melursus ursinus,Carnivora,Ursidae,1993,77.173,21.448,,India,0.072,,93130,Omnivore,Asia,186,13.686,2.469,46.192,3.12,158.954,0.472,66.537,323,4.329,0.117,26.92,4.687,24.407,0.526,0.651,36.329,3.747,78.338,0.481,225,10.335,70.006,155,4.329,0.053,24.949,2.66,44.087,0.518,70.006,NA,NA,0.053,24.949,2.66,44.087,NA,NA
Melursus ursinus,Carnivora,Ursidae,1993,76.452,11.764,,India,0.074,,93130,Omnivore,Asia,151,14.504,5.521,19.52,1.031,515.882,0.541,65.858,171,8.437,0,0,0,29.697,0.662,2.929,12.802,0.367,331.165,0.568,165,12.291,77.3,244,8.437,0.145,9.037,0.329,132.093,0.611,77.3,NA,8.397,0.145,NA,NA,NA,NA,NA
